well,serum,dilution_factor,replicate,fastq
G6,NIID_39,5921,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_47_S47_R1_001.fastq.gz
H6,NIID_39,13619,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_48_S48_R1_001.fastq.gz
A7,NIID_40,40,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_49_S49_R1_001.fastq.gz
B7,NIID_40,92,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_50_S50_R1_001.fastq.gz
C7,NIID_40,212,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_51_S51_R1_001.fastq.gz
D7,NIID_40,487,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_52_S52_R1_001.fastq.gz
E7,NIID_40,1119,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_53_S53_R1_001.fastq.gz
F7,NIID_40,2575,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_54_S54_R1_001.fastq.gz
G7,NIID_40,5921,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_55_S55_R1_001.fastq.gz
H7,NIID_40,13619,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_56_S56_R1_001.fastq.gz
A8,NIID_41,40,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_57_S57_R1_001.fastq.gz
B8,NIID_41,92,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_58_S58_R1_001.fastq.gz
C8,NIID_41,212,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_59_S59_R1_001.fastq.gz
D8,NIID_41,487,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_60_S60_R1_001.fastq.gz
E8,NIID_41,1119,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_61_S61_R1_001.fastq.gz
F8,NIID_41,2575,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_62_S62_R1_001.fastq.gz
